iter	Passed	Remaining
0	141	141402
1	143	71454
2	144	48116
3	146	36562
4	148	29559
5	149	24771
6	150	21315
7	152	18855
8	154	17004
9	155	15369
10	155	14015
11	156	12899
12	158	12021
13	159	11221
14	160	10547
15	162	9975
16	163	9448
17	164	8977
18	166	8572
19	168	8233
20	169	7888
21	170	7575
22	171	7289
23	172	7021
24	173	6769
25	174	6542
26	175	6328
27	176	6134
28	177	5939
29	178	5759
30	179	5600
31	179	5441
32	180	5300
33	182	5171
34	182	5036
35	183	4912
36	184	4797
37	184	4683
38	185	4579
39	186	4475
40	187	4377
41	187	4284
42	188	4192
43	189	4109
44	189	4030
45	190	3949
46	190	3871
47	191	3800
48	192	3729
49	192	3660
50	193	3595
51	193	3533
52	194	3472
53	194	3413
54	195	3357
55	195	3302
56	196	3249
57	196	3198
58	197	3149
59	197	3101
60	198	3054
61	198	3009
62	199	2966
63	199	2924
64	200	2883
65	200	2843
66	201	2804
67	201	2768
68	202	2731
69	202	2696
70	203	2662
71	204	2629
72	204	2596
73	205	2565
74	205	2535
75	206	2508
76	206	2480
77	207	2452
78	208	2425
79	208	2400
80	209	2375
81	210	2351
82	210	2323
83	211	2301
84	211	2280
85	212	2257
86	213	2236
87	213	2214
88	214	2193
89	214	2173
90	215	2153
91	216	2133
92	216	2113
93	217	2096
94	218	2079
95	218	2059
96	219	2041
97	219	2023
98	220	2005
99	220	1987
100	221	1970
101	221	1953
102	222	1937
103	222	1920
104	223	1904
105	223	1888
106	224	1872
107	224	1857
108	225	1843
109	226	1829
110	226	1816
111	227	1803
112	228	1790
113	228	1777
114	229	1765
115	230	1753
116	231	1743
117	231	1732
118	232	1720
119	232	1708
120	233	1696
121	234	1684
122	234	1672
123	235	1660
124	235	1649
125	236	1637
126	236	1625
127	236	1614
128	237	1603
129	237	1592
130	238	1581
131	238	1570
132	239	1560
133	240	1551
134	240	1541
135	241	1532
136	241	1523
137	242	1514
138	243	1506
139	243	1497
140	244	1488
141	244	1478
142	245	1469
143	245	1460
144	246	1451
145	246	1442
146	247	1434
147	247	1426
148	248	1419
149	249	1411
150	249	1403
151	250	1395
152	250	1387
153	251	1379
